Text: плотность, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: чем, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: у, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: человека, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: так, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: как, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: у, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: жирафов, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: кровь, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: течет, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: быстрее, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: ваше, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: артериальное, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: давление, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: артерии, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: подвергаются, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: очень, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: а, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: сильной, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: нагрузке, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: поэтому, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: необходимо, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: плотно, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: поддерживать, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: капилляр, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: в, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: неподвижном, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: чтобы, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: укрепить, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
Text: капилляр, Number: 24, Confidence: 0.30, Bbox: [41.340171813964844, 123.55220031738281, 2292.806640625, 2427.6220703125]
