Text: ав, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: первом, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: поколении, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: возможно, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: вождение, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: ребенка, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: с, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: нормальным, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: развитием, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: кисте, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: и, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: с, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: гимьтриходомуже, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: уже, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: нужного, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: поло, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: так, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: происходит, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: стояние, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: материнской, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: комета, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: за, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: и, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: способной, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: кометой, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: обще, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: унаби, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: а, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: оология, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: ребенке, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: -с, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: подав, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: no26, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: Теория, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: дрейфа, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: починена, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
Text: г, Number: 24, Confidence: 0.33, Bbox: [51.21455764770508, 1741.3795166015625, 2310.0, 2590.0]
