Text: правильно, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: т, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: потому, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: что, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: нельзя, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: сравнить, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: вирусных, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: частиц, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: а, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: клеток, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: которым, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: ввели, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: препарат, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: и, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: которым, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: не, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: вводили, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: лекарство, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: -с, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: Вирусы, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: быстро, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: мутируют, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: и, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: приспосабливаются, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: к, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: противовирусным, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: каратам, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: также, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: они, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: быстро, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: разм, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: множатся, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: разрушая, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: клетки, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: хозяи, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: на, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: no25, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: -с, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: Сонная, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: артерия, Number: 22, Confidence: 0.83, Bbox: [20.744680404663086, 30.732316970825195, 2307.09326171875, 1082.6041259765625]
Text: несет, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: артериальную, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: кровь, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: к, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: мозгу, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: Высокое, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: в, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: сонной, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: артерии, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: у, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: жирарда, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: возникает, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: изза, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: длинной, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: шеи, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: такое, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: давление, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: необходимо, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: того, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: чтобы, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: дошла, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: до, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: мозга, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: -с, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: большая, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: плотность, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: соединительной, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: ткани, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: нужна, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: того, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: чтобы, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: кавалеры, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: не, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: лопались, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: от, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: высокого, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: дав, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
Text: мления, Number: 24, Confidence: 0.41, Bbox: [17.497844696044922, 1045.648193359375, 2310.0, 2590.0]
