Text: отделительного, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: рефлекса, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: расположен, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: в, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: продолговатом, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: мозге, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: -с, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: рефлекс, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: действие, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: организма, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: на, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: внешний, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: Инстинкт, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: -с, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: это, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: определенное, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: поведение, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: которое, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: оно, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: для, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: животных, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: в, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: тех, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: или, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: иных, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: ситуациях, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: -с, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: Зрительный, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: Рецепторы, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: глаза, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
Text: зрительный, Number: 22, Confidence: 0.66, Bbox: [49.33858108520508, 69.76240539550781, 2310.0, 1543.138427734375]
