Text: котировочные, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: измерительные, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: no22, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: -с, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: Данный, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: отрицательный, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: контроль, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: нельзя, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: считать, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: надеванным, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: мак, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: при, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: его, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: проведении, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: необходимо, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: обновля, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: все, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: онкольные, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: кроме, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: исследуемого, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: условия, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: без, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: изменений, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: экспериментатор, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: добавил, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: к, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: ленком, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: противовирусный, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: препарат, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: что, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: могло, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: повлияв, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: влиять, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: на, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: достоверность, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: отрицательного, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: контроля, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: -с, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: В, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
