Text: генотипом, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: ввода, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: рав, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: что, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: по, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: канонику, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: в, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: дает, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: гипертрихоз, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: и, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: нормальную, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: писанью, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: Всего, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: -с, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
Text: 1000, Number: 24, Confidence: 0.79, Bbox: [76.01525115966797, 1421.2034912109375, 2292.48681640625, 1881.5697021484375]
