Text: no22., Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: Отрицательный, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: контрольно, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: контроль, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: допыт, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: при, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: котором, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: изучаемый, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: объект, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: не, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: подвергается, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: экспериментальному, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: воздействию, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: при, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: сохранении, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: всех, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: остальных, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: условий, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: -с, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: Этот, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: отрицательный, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: контроль, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: не, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: является, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: неохватным, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: по, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: потому, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: что, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: противовирусный, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: препарат, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: купленный, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: в, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: аптеке, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: делает, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: результаты, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: эффективности, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: лекарственного, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: препарата, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: против, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: иммунодефицита, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: человека, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: источники, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: -с, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: Через, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: -с, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: часов, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: добавить, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: лекарственный, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: препарат, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: и, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: затем, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: каждые, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: -с, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: часа, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: заорать, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: количество, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: вирусных, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: частиц, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: измер, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: Составьте, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: no23, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: Нельзя, Number: 22, Confidence: 0.50, Bbox: [47.37812805175781, 64.06370544433594, 2301.44482421875, 1794.025634765625]
Text: Если, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: посмотреть, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: на, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: таблицу, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: и, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: на, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: число, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: вирусных, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
Text: частиц, Number: 22, Confidence: 0.32, Bbox: [37.523502349853516, 129.7146453857422, 2299.427978515625, 2590.0]
