Text: У, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: микрофаг, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: части, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: тело, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: полного, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: длинные, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: обошлось, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: относительно, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: их, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: тела, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: полного, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: длиннее, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: в, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: сравнение, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: с, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: человеком, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: для, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: того, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
Text: чтобы, Number: 24, Confidence: 0.34, Bbox: [32.20407485961914, 1297.7447509765625, 2308.30859375, 2094.04443359375]
