Text: при, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: слиянии, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: гамет, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: матери, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: и, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: отца, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: образуется, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: монотип, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: ха, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: муар, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: а, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: что, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: соответствует, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: нормальному, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: развитию, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: клети, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: и, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: гипертрихозу, Number: 22, Confidence: 0.31, Bbox: [60.948646545410156, 16.658842086791992, 2310.0, 354.30548095703125]
Text: no25, Number: 24, Confidence: 0.35, Bbox: [36.84918975830078, 355.9059143066406, 2310.0, 1571.1900634765625]
