Text: манатья, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: липка, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: исполнилась, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: только, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: n27., Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: p2(aa), Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: а, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -де, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: а, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: 9801, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: а, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: Определим, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: частоту, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: встречаемость, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: гетерозигот, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
Text: -де, Number: 28, Confidence: 0.52, Bbox: [924.7252807617188, 779.1427612304688, 2295.3505859375, 2580.277587890625]
