Text: иппол, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: бланк, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: использовать, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: толко, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: после, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: заполнения, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: бланка, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: ответов, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: до, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: лист, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: ажите, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: днем, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: развит, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: класси, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: на, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: мангала, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: развит, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.60, Bbox: [50.246803283691406, 184.85060119628906, 2310.0, 2590.0]
