Text: жение, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: Решение, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: -де, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: Энергетическая, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: ценность, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: гущ, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: а, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: красковарные, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: залиты, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: нет, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: о, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: капай, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: Кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: метра, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: кисть, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: а, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
Text: капом, Number: 28, Confidence: 0.92, Bbox: [33.14959716796875, 49.353153228759766, 2304.1826171875, 2590.0]
