Text: гамете, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: а, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: не, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: может, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: быть, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: аллелей, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: от, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: отвечающих, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: за, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: гипертрихоз, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -де, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: Безусловный, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рефлекс, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: слюноотделения, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: изображения, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: на, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рисунке, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: а, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: бездельный, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рефлекс, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: возникает, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: при, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: непосредственно, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: контакте, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
Text: рецепторов, Number: 24, Confidence: 0.30, Bbox: [32.551361083984375, 1826.32177734375, 2289.121337890625, 2589.27490234375]
