Text: руков, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: выработается, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: иммунитет, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: к, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: престу, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: Он, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: больше, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: не, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: будет, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: действовать, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: на, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: разрушительно, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: них, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: Следовательно, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: человеку, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: ку, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: необходимо, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: созда, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: ку, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: ку, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: создавать, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: новый, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: В, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: этом, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: и, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: состоит, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: сложность, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: -с, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: многих, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: мест, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: дополнительная, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: защитная, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: оболочка, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: которая, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: дойдямадля, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: для, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: для, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: защищает, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: вирус, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: неблагоприятного, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: него, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: воздействия, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: Кроме, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: того, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: вирусы, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: взмах, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: проникают, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: в, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: клетки, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: организма, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: ма, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: что, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: усиливает, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: их, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: защиту, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: пока, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: они, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: в, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: ней, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: Это, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: говорит, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
Text: о, Number: 22, Confidence: 0.39, Bbox: [80.9812240600586, 62.12338638305664, 2278.89697265625, 1906.6669921875]
