Text: преодолеть, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: поднимающейся, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: вверх, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: кровь, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: В, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: следствие, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: этого, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: у, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: жирафов, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: в, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: сонных, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: артериях, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: в, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: такое, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: давление, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: -с, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: Конечности, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: жирафа, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: удерживают, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: огромный, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: вес, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: тела, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: для, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: прочности, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: из, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: этих, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: животных, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: соединительная, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: ткань, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: вокруг, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: капилляров, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: имеет, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: большую, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: плотность, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: чем, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: у, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: чело, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: века, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: артериальном, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: -с, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: При, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: повышенном, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: давал, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: давлении, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: у, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: человека, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: возникать, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: акает, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: отечность, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: нижних, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: конечностей, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: слишком, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: мы, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: повышен, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: превышающего, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: норму, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: давления, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: в, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: сосудах, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: накапливается, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: давление, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: в, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: нижней, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: части, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: человека, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: потому, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: что, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: это, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: место, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: усиленное, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: давление, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: всего, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: веса, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: Это, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: может, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: быть, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: из-за, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: малой, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: подвижности, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: человека, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: no28, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: ударов, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: р, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: ахну, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: а, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: апломб, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: развит, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: (f-5), Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: в, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: гипс, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: ь, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: -с, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: а, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: а, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: а-, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: апом., Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: развит., Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: кисти, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: (f-5), Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: В-, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: гип., Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: ь-, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: К., Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: F:, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: X, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
Text: X, Number: 28, Confidence: 0.54, Bbox: [9.641462326049805, 627.8231201171875, 2298.39111328125, 2590.0]
